timestamp,temperature,humidity,light_received
1337884,23.8,48,0
1347319,21.0,43,2594
1349258,23.0,49,1023
1349886,24.5,45,0
1350645,23.8,49,1023
1357272,23.0,51,0
1358543,21.0,43,2487
1361258,23.0,49,1023
1363012,24.5,45,0
1363890,23.8,48,0
1369808,21.0,43,2355
1373296,23.0,49,1023
1375748,24.5,45,0
1376321,23.8,48,0
1379416,23.0,51,0
1381043,21.0,43,2467
1385299,23.0,49,1023
1388486,24.5,45,0
1389162,23.8,48,0
1392301,21.0,43,2463
1397299,23.0,49,1023
1400298,23.0,50,0
1401219,24.5,45,0
1401749,23.8,48,0
1403508,21.0,43,2431
1409314,23.0,49,1023
1414311,24.5,45,0
1414595,23.8,48,0
1414736,21.0,43,2475
1421020,23.0,49,0
1421346,23.0,49,1023
1425982,21.0,43,2405
1427044,24.5,45,0
1427301,23.8,48,0
1433359,23.0,49,1023
1437231,21.0,43,2538
1439935,24.5,45,0
1440078,23.8,49,0
1442693,23.0,50,0
1445374,23.0,49,1023
1448473,21.0,43,2510
1452587,24.5,45,0
1453109,23.8,48,0
1457552,23.0,49,1023
1459731,21.0,43,2637
1465866,23.8,48,0
1465942,24.5,45,0
1469574,23.0,49,1023
1470950,21.0,43,2425
1478890,23.8,48,0
1479354,24.5,45,0
1481591,23.0,49,1023
1482199,21.0,43,2368
1491779,23.8,47,0
1492190,24.5,45,0
1493426,21.0,43,2506
1493628,23.0,49,1023
1504647,21.0,43,2463
1505031,23.8,47,0
1505143,24.5,45,0
1505681,23.0,48,1023
1515867,21.0,43,2474
1517668,23.8,47,0
1517689,23.0,48,1023
1518697,24.5,45,0
1527380,21.0,43,2495
1529713,23.0,48,1023
1530594,23.8,47,0
1531640,24.5,45,0
1538612,21.0,43,2474
1541705,23.0,48,1023
1543428,23.8,48,0
1544377,24.5,45,0
1549845,21.0,43,2432
1553716,23.0,49,1023
1556199,23.8,48,0
1557397,24.5,45,0
1561918,21.0,43,2486
1565713,23.0,49,1023
1570156,24.5,45,0
1571689,23.8,48,0
1573135,21.0,43,2416
1577720,23.0,49,1023
1582969,24.5,45,0
1584182,23.8,48,0
1584370,21.0,43,2518
1589833,23.0,49,1023
1595607,21.0,43,2509
1595705,24.5,45,0
1596812,24.1,48,0
1601828,23.0,49,1023
1606850,21.0,43,2396
1608512,24.5,45,0
1609549,24.1,48,0
1613836,23.0,49,1023
1618961,21.0,43,2581
1621218,24.5,45,0
1622056,24.1,48,0
1625849,23.0,48,1023
1630169,21.0,43,2448
1633897,24.5,45,0
1635232,24.1,48,0
1637860,22.9,48,1023
1641392,21.0,43,2497
1647860,24.1,48,0
1648149,24.5,45,0
1649859,22.7,48,1023
1652668,21.0,43,2322
1660635,24.1,49,0
1661018,24.5,45,0
1661886,22.6,48,1023
1663909,21.0,43,2403
1673376,24.1,48,0
1673883,22.6,48,1023
1673976,24.5,45,0
1675378,21.0,43,2549
1685917,22.6,48,1023
1686149,24.1,48,0
1686607,21.0,43,2334
1686897,24.5,45,0
1697834,21.0,43,2416
1697927,22.6,48,1023
1698861,24.1,47,0
1699910,24.5,45,0
1709097,21.0,43,2400
1709943,22.6,48,1023
1711630,24.1,47,0
1713097,24.5,45,0
1720332,21.0,43,2314
1721976,22.6,48,1023
1724225,24.1,48,0
1726233,24.5,45,0
1731617,21.0,43,2441
1733988,22.6,48,1023
1736925,24.1,47,0
1739101,24.5,45,0
1742843,21.0,43,2349
1746033,22.6,48,1023
1749647,24.1,47,0
1752048,24.5,45,0
1754110,21.0,43,2398
1758067,22.6,48,1023
1765378,21.0,43,2416
1765663,24.5,45,0
1766098,24.1,47,0
1770833,22.6,48,1023
1776641,21.0,43,2367
1778729,24.5,45,0
1779240,24.1,47,0
1782839,22.6,49,1023
1787870,21.0,43,2384
1791865,24.5,45,0
1792125,24.1,48,0
1795615,22.6,49,1023
1799096,21.0,43,2514
1805028,24.5,45,0
1805093,24.1,48,0
1807643,22.6,48,1023
1810304,21.0,43,2514
1817588,24.1,48,0
1817925,24.5,45,0
1819663,22.6,48,1023
1821553,21.0,43,2434
